"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Fabrication de textiles (NAF rév. 2, niveau division, poste 13)";"Codes"
"idBank";"010537323";""
"Dernière mise à jour";"05/04/2023 08:45";""
"Période";"";""
"2023-02";"94.91";"A"
"2023-01";"95.91";"A"
"2022-12";"96.12";"A"
"2022-11";"99.2";"A"
"2022-10";"95.89";"A"
"2022-09";"100.32";"A"
"2022-08";"99.15";"A"
"2022-07";"93.36";"A"
"2022-06";"97.07";"A"
"2022-05";"95.41";"A"
"2022-04";"98.15";"A"
"2022-03";"95.1";"A"
"2022-02";"96.92";"A"
"2022-01";"96.46";"A"
"2021-12";"97.42";"A"
"2021-11";"95.43";"A"
"2021-10";"95.34";"A"
"2021-09";"96.45";"A"
"2021-08";"92.06";"A"
"2021-07";"99.15";"A"
"2021-06";"95.56";"A"
"2021-05";"91.26";"A"
"2021-04";"94.13";"A"
"2021-03";"92.07";"A"
"2021-02";"92.96";"A"
"2021-01";"92.62";"A"
"2020-12";"105.06";"A"
"2020-11";"95.36";"A"
"2020-10";"93.47";"A"
"2020-09";"93.29";"A"
"2020-08";"94.13";"A"
"2020-07";"92.37";"A"
"2020-06";"90.45";"A"
"2020-05";"73.99";"A"
"2020-04";"54.0";"A"
"2020-03";"75.69";"A"
"2020-02";"99.84";"A"
"2020-01";"100.72";"A"
"2019-12";"96.21";"A"
"2019-11";"101.95";"A"
"2019-10";"102.78";"A"
"2019-09";"101.55";"A"
"2019-08";"95.3";"A"
"2019-07";"103.54";"A"
"2019-06";"101.73";"A"
"2019-05";"110.14";"A"
"2019-04";"103.6";"A"
"2019-03";"105.31";"A"
"2019-02";"102.74";"A"
"2019-01";"104.6";"A"
"2018-12";"103.63";"A"
"2018-11";"101.77";"A"
"2018-10";"100.68";"A"
"2018-09";"100.76";"A"
"2018-08";"99.3";"A"
"2018-07";"101.85";"A"
"2018-06";"111.04";"A"
"2018-05";"105.73";"A"
"2018-04";"103.78";"A"
"2018-03";"105.14";"A"
"2018-02";"97.31";"A"
"2018-01";"97.94";"A"
"2017-12";"104.8";"A"
"2017-11";"98.51";"A"
"2017-10";"100.2";"A"
"2017-09";"102.58";"A"
"2017-08";"101.2";"A"
"2017-07";"99.58";"A"
"2017-06";"98.79";"A"
"2017-05";"98.79";"A"
"2017-04";"95.56";"A"
"2017-03";"99.21";"A"
"2017-02";"100.37";"A"
"2017-01";"101.78";"A"
"2016-12";"96.15";"A"
"2016-11";"103.15";"A"
"2016-10";"94.67";"A"
"2016-09";"96.34";"A"
"2016-08";"97.25";"A"
"2016-07";"99.67";"A"
"2016-06";"95.14";"A"
"2016-05";"96.37";"A"
"2016-04";"98.99";"A"
"2016-03";"99.12";"A"
"2016-02";"103.04";"A"
"2016-01";"105.04";"A"
"2015-12";"101.42";"A"
"2015-11";"99.26";"A"
"2015-10";"98.79";"A"
"2015-09";"100.85";"A"
"2015-08";"93.95";"A"
"2015-07";"95.85";"A"
"2015-06";"100.71";"A"
"2015-05";"106.25";"A"
"2015-04";"101.68";"A"
"2015-03";"99.18";"A"
"2015-02";"101.63";"A"
"2015-01";"100.43";"A"
"2014-12";"99.08";"A"
"2014-11";"96.73";"A"
"2014-10";"102.5";"A"
"2014-09";"101.28";"A"
"2014-08";"96.06";"A"
"2014-07";"99.55";"A"
"2014-06";"98.79";"A"
"2014-05";"94.2";"A"
"2014-04";"100.46";"A"
"2014-03";"99.46";"A"
"2014-02";"100.66";"A"
"2014-01";"100.02";"A"
"2013-12";"104.1";"A"
"2013-11";"102.59";"A"
"2013-10";"102.34";"A"
"2013-09";"100.07";"A"
"2013-08";"93.62";"A"
"2013-07";"99.99";"A"
"2013-06";"98.71";"A"
"2013-05";"101.15";"A"
"2013-04";"98.85";"A"
"2013-03";"99.08";"A"
"2013-02";"97.94";"A"
"2013-01";"97.68";"A"
"2012-12";"98.45";"A"
"2012-11";"95.72";"A"
"2012-10";"96.73";"A"
"2012-09";"98.09";"A"
"2012-08";"109.36";"A"
"2012-07";"99.82";"A"
"2012-06";"100.37";"A"
"2012-05";"100.71";"A"
"2012-04";"98.6";"A"
"2012-03";"98.79";"A"
"2012-02";"98.06";"A"
"2012-01";"98.47";"A"
"2011-12";"96.63";"A"
"2011-11";"99.04";"A"
"2011-10";"97.98";"A"
"2011-09";"99.11";"A"
"2011-08";"102.28";"A"
"2011-07";"101.06";"A"
"2011-06";"98.89";"A"
"2011-05";"98.46";"A"
"2011-04";"99.21";"A"
"2011-03";"100.0";"A"
"2011-02";"100.27";"A"
"2011-01";"97.18";"A"
"2010-12";"101.94";"A"
"2010-11";"101.43";"A"
"2010-10";"101.98";"A"
"2010-09";"102.14";"A"
"2010-08";"100.66";"A"
"2010-07";"99.94";"A"
"2010-06";"101.43";"A"
"2010-05";"98.1";"A"
"2010-04";"102.38";"A"
"2010-03";"101.62";"A"
"2010-02";"100.87";"A"
"2010-01";"96.51";"A"
"2009-12";"101.42";"A"
"2009-11";"96.12";"A"
"2009-10";"94.72";"A"
"2009-09";"94.31";"A"
"2009-08";"99.29";"A"
"2009-07";"91.3";"A"
"2009-06";"91.14";"A"
"2009-05";"95.05";"A"
"2009-04";"96.12";"A"
"2009-03";"97.72";"A"
"2009-02";"99.98";"A"
"2009-01";"100.82";"A"
"2008-12";"101.79";"A"
"2008-11";"105.0";"A"
"2008-10";"110.2";"A"
"2008-09";"113.08";"A"
"2008-08";"117.33";"A"
"2008-07";"117.17";"A"
"2008-06";"123.54";"A"
"2008-05";"122.75";"A"
"2008-04";"132.95";"A"
"2008-03";"129.65";"A"
"2008-02";"131.64";"A"
"2008-01";"131.29";"A"
"2007-12";"126.54";"A"
"2007-11";"130.1";"A"
"2007-10";"131.47";"A"
"2007-09";"129.54";"A"
"2007-08";"133.4";"A"
"2007-07";"134.77";"A"
"2007-06";"137.49";"A"
"2007-05";"139.17";"A"
"2007-04";"132.18";"A"
"2007-03";"136.93";"A"
"2007-02";"135.85";"A"
"2007-01";"135.44";"A"
"2006-12";"138.97";"A"
"2006-11";"135.26";"A"
"2006-10";"136.06";"A"
"2006-09";"132.64";"A"
"2006-08";"136.43";"A"
"2006-07";"139.98";"A"
"2006-06";"135.87";"A"
"2006-05";"140.86";"A"
"2006-04";"138.07";"A"
"2006-03";"144.76";"A"
"2006-02";"140.71";"A"
"2006-01";"140.72";"A"
"2005-12";"147.52";"A"
"2005-11";"145.65";"A"
"2005-10";"141.7";"A"
"2005-09";"150.16";"A"
"2005-08";"145.93";"A"
"2005-07";"156.95";"A"
"2005-06";"154.79";"A"
"2005-05";"150.86";"A"
"2005-04";"157.77";"A"
"2005-03";"157.53";"A"
"2005-02";"163.13";"A"
"2005-01";"168.73";"A"
"2004-12";"169.57";"A"
"2004-11";"170.66";"A"
"2004-10";"174.72";"A"
"2004-09";"179.66";"A"
"2004-08";"168.96";"A"
"2004-07";"177.72";"A"
"2004-06";"178.13";"A"
"2004-05";"179.28";"A"
"2004-04";"180.9";"A"
"2004-03";"182.57";"A"
"2004-02";"183.0";"A"
"2004-01";"181.06";"A"
"2003-12";"185.05";"A"
"2003-11";"183.9";"A"
"2003-10";"185.97";"A"
"2003-09";"187.04";"A"
"2003-08";"195.9";"A"
"2003-07";"190.62";"A"
"2003-06";"195.16";"A"
"2003-05";"196.87";"A"
"2003-04";"200.92";"A"
"2003-03";"202.35";"A"
"2003-02";"204.06";"A"
"2003-01";"202.45";"A"
"2002-12";"202.21";"A"
"2002-11";"208.76";"A"
"2002-10";"206.96";"A"
"2002-09";"203.18";"A"
"2002-08";"212.99";"A"
"2002-07";"202.84";"A"
"2002-06";"222.2";"A"
"2002-05";"212.8";"A"
"2002-04";"217.2";"A"
"2002-03";"214.8";"A"
"2002-02";"212.78";"A"
"2002-01";"208.95";"A"
"2001-12";"200.76";"A"
"2001-11";"203.75";"A"
"2001-10";"216.78";"A"
"2001-09";"221.43";"A"
"2001-08";"211.67";"A"
"2001-07";"223.51";"A"
"2001-06";"224.5";"A"
"2001-05";"227.56";"A"
"2001-04";"228.74";"A"
"2001-03";"231.02";"A"
"2001-02";"231.84";"A"
"2001-01";"236.58";"A"
"2000-12";"226.34";"A"
"2000-11";"225.77";"A"
"2000-10";"226.02";"A"
"2000-09";"232.61";"A"
"2000-08";"224.61";"A"
"2000-07";"234.82";"A"
"2000-06";"228.27";"A"
"2000-05";"231.96";"A"
"2000-04";"228.27";"A"
"2000-03";"235.39";"A"
"2000-02";"231.48";"A"
"2000-01";"232.53";"A"
"1999-12";"234.71";"A"
"1999-11";"234.02";"A"
"1999-10";"239.14";"A"
"1999-09";"233.7";"A"
"1999-08";"230.04";"A"
"1999-07";"234.75";"A"
"1999-06";"238.02";"A"
"1999-05";"234.58";"A"
"1999-04";"235.04";"A"
"1999-03";"236.48";"A"
"1999-02";"234.58";"A"
"1999-01";"234.79";"A"
"1998-12";"236.95";"A"
"1998-11";"245.56";"A"
"1998-10";"241.75";"A"
"1998-09";"244.96";"A"
"1998-08";"240.44";"A"
"1998-07";"238.36";"A"
"1998-06";"245.67";"A"
"1998-05";"245.63";"A"
"1998-04";"245.59";"A"
"1998-03";"247.77";"A"
"1998-02";"246.41";"A"
"1998-01";"248.38";"A"
"1997-12";"249.47";"A"
"1997-11";"241.76";"A"
"1997-10";"246.97";"A"
"1997-09";"240.84";"A"
"1997-08";"248.08";"A"
"1997-07";"241.38";"A"
"1997-06";"242.51";"A"
"1997-05";"241.52";"A"
"1997-04";"242.51";"A"
"1997-03";"235.13";"A"
"1997-02";"238.96";"A"
"1997-01";"236.12";"A"
"1996-12";"234.23";"A"
"1996-11";"240.87";"A"
"1996-10";"236.25";"A"
"1996-09";"235.98";"A"
"1996-08";"240.21";"A"
"1996-07";"232.88";"A"
"1996-06";"233.74";"A"
"1996-05";"233.46";"A"
"1996-04";"231.67";"A"
"1996-03";"230.81";"A"
"1996-02";"231.61";"A"
"1996-01";"227.49";"A"
"1995-12";"233.81";"A"
"1995-11";"235.75";"A"
"1995-10";"233.68";"A"
"1995-09";"235.09";"A"
"1995-08";"235.35";"A"
"1995-07";"242.9";"A"
"1995-06";"237.85";"A"
"1995-05";"232.38";"A"
"1995-04";"239.88";"A"
"1995-03";"241.99";"A"
"1995-02";"244.96";"A"
"1995-01";"242.13";"A"
"1994-12";"247.19";"A"
"1994-11";"245.7";"A"
"1994-10";"235.77";"A"
"1994-09";"240.87";"A"
"1994-08";"234.84";"A"
"1994-07";"242.09";"A"
"1994-06";"239.27";"A"
"1994-05";"238.1";"A"
"1994-04";"235.73";"A"
"1994-03";"236.5";"A"
"1994-02";"232.95";"A"
"1994-01";"229.31";"A"
"1993-12";"225.06";"A"
"1993-11";"222.87";"A"
"1993-10";"220.6";"A"
"1993-09";"222.85";"A"
"1993-08";"218.99";"A"
"1993-07";"227.31";"A"
"1993-06";"221.76";"A"
"1993-05";"224.36";"A"
"1993-04";"223.8";"A"
"1993-03";"223.37";"A"
"1993-02";"223.46";"A"
"1993-01";"224.49";"A"
"1992-12";"228.13";"A"
"1992-11";"234.78";"A"
"1992-10";"233.99";"A"
"1992-09";"235.65";"A"
"1992-08";"233.21";"A"
"1992-07";"230.74";"A"
"1992-06";"235.69";"A"
"1992-05";"237.99";"A"
"1992-04";"240.82";"A"
"1992-03";"244.31";"A"
"1992-02";"244.7";"A"
"1992-01";"247.27";"A"
"1991-12";"236.57";"A"
"1991-11";"238.05";"A"
"1991-10";"237.72";"A"
"1991-09";"239.29";"A"
"1991-08";"245.48";"A"
"1991-07";"241.37";"A"
"1991-06";"246.18";"A"
"1991-05";"244.53";"A"
"1991-04";"243.6";"A"
"1991-03";"240.17";"A"
"1991-02";"243.95";"A"
"1991-01";"247.53";"A"
"1990-12";"256.69";"A"
"1990-11";"254.95";"A"
"1990-10";"260.42";"A"
"1990-09";"256.54";"A"
"1990-08";"239.52";"A"
"1990-07";"250.65";"A"
"1990-06";"259.37";"A"
"1990-05";"262.28";"A"
"1990-04";"260.28";"A"
"1990-03";"262.31";"A"
"1990-02";"266.97";"A"
"1990-01";"267.37";"A"
